title,release_date,genres
Hotel Artemis,2018-06-07,"Thriller, Science Fiction, Action"
Monsters,2010-06-18,"Drama, Thriller, Science Fiction"
The Cell,2000-08-17,"Horror, Science Fiction, Thriller"
Sorry to Bother You,2018-07-06,"Fantasy, Science Fiction, Comedy"
Dragon Ball Z: Battle of Gods,2013-03-30,"Animation, Action, Science Fiction"
Astro Boy,2009-10-15,"Animation, Action, Family, Science Fiction"
Slither,2006-03-31,"Horror, Science Fiction, Comedy"
The Adventures of Sharkboy and Lavagirl,2005-06-10,"Adventure, Family, Science Fiction"
Morgan,2016-09-01,"Horror, Science Fiction, Thriller"
The Invasion,2007-08-17,"Science Fiction, Thriller, Mystery, Horror"
Boss Level,2021-02-19,"Action, Science Fiction, Thriller"
The Jacket,2005-03-04,"Thriller, Mystery, Drama, Science Fiction, Fantasy"
Justice League Dark: Apokolips War,2020-05-05,"Animation, Action, Science Fiction"
The X Files: I Want to Believe,2008-07-24,"Drama, Mystery, Science Fiction, Thriller"
Final Fantasy: The Spirits Within,2001-07-02,"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation"
"Batman: The Dark Knight Returns, Part 2",2013-01-03,"Science Fiction, Action, Animation, Mystery"
2:22,2017-06-29,"Science Fiction, Mystery, Thriller, Romance"
My Super Ex-Girlfriend,2006-07-20,"Comedy, Science Fiction, Romance"
The Darkest Hour,2011-12-22,"Horror, Action, Thriller, Science Fiction"
The Lazarus Effect,2015-01-29,"Horror, Thriller, Mystery, Science Fiction"
Safety Not Guaranteed,2012-06-08,"Comedy, Romance, Science Fiction"
Absolutely Anything,2015-06-26,"Comedy, Science Fiction"
Meet Dave,2008-07-08,"Comedy, Science Fiction, Adventure, Family"
Equals,2015-07-15,"Drama, Romance, Science Fiction"
Carriers,2009-09-04,"Action, Drama, Horror, Science Fiction, Thriller"
Cube 2: Hypercube,2002-04-15,"Thriller, Science Fiction, Mystery"
Mission to Mars,2000-03-10,"Science Fiction, Adventure, Mystery"
Star Trek: Nemesis,2002-12-13,"Science Fiction, Action, Adventure, Thriller"
Lilo & Stitch 2: Stitch Has a Glitch,2005-01-22,"Animation, Family, Comedy, Science Fiction"
Color Out of Space,2019-09-07,"Horror, Science Fiction, Mystery, Thriller"
IO,2019-01-18,Science Fiction
In the Shadow of the Moon,2019-09-27,"Science Fiction, Thriller"
Europa Report,2013-06-27,"Science Fiction, Thriller"
Oxygen,2021-05-12,"Science Fiction, Thriller, Horror"
Replicas,2018-10-25,"Science Fiction, Thriller, Drama"
The Stepford Wives,2004-06-10,"Comedy, Science Fiction, Horror"
The Discovery,2017-03-31,"Drama, Romance, Science Fiction, Thriller, Mystery"
Land of the Lost,2009-06-05,"Adventure, Comedy, Science Fiction"
Jason X,2001-11-09,"Horror, Science Fiction"
Nutty Professor II: The Klumps,2000-07-27,"Fantasy, Comedy, Romance, Science Fiction"
Left Behind,2014-10-03,"Thriller, Action, Science Fiction"
Solaris,2002-11-27,"Drama, Science Fiction, Mystery"
The Death and Return of Superman,2019-10-01,"Science Fiction, Adventure, Animation, Action, Fantasy"
Doomsday,2008-03-14,"Action, Thriller, Science Fiction"
Blindness,2008-05-14,"Drama, Mystery, Science Fiction, Thriller"
Outlander,2008-04-24,"Science Fiction, Action"
Sky Captain and the World of Tomorrow,2004-09-17,"Mystery, Action, Thriller, Science Fiction, Adventure"
Quarantine,2008-10-10,"Horror, Science Fiction, Thriller"
The Titan,2018-03-30,"Science Fiction, Thriller"
Tau,2018-06-29,"Science Fiction, Thriller, Horror"
Thunder Force,2021-04-09,"Action, Adventure, Comedy, Science Fiction"
Timecrimes,2007-10-05,"Science Fiction, Thriller"
Time Lapse,2014-05-24,"Thriller, Science Fiction, Mystery, Horror"
